timestamp,c,h,l,o
2020-01-04T20:00:00Z,43.2554188357,43.2554188357,43.0705103037,43.183023814
2020-01-04T21:00:00Z,43.1944875576,43.2820695486,43.1944875576,43.2820695486
2020-01-04T22:00:00Z,43.2804413095,43.2804413095,43.0979594531,43.2068915108
2020-01-04T23:00:00Z,43.3007041199,43.3427059049,42.9889402151,43.1644051482
2020-01-05T00:00:00Z,43.3208924371,43.6250242662,43.2264215059,43.3067708939
2020-01-05T01:00:00Z,43.4959999115,43.5659528858,43.3163681848,43.3163681848
2020-01-05T02:00:00Z,43.5382337687,43.5382337687,43.3493360772,43.4730572899
2020-01-05T03:00:00Z,43.4550001991,43.5919374899,43.2920411192,43.5919374899
2020-01-05T04:00:00Z,43.3973829761,43.4959531667,43.2139432083,43.4600494705
2020-01-05T05:00:00Z,43.40452341,43.4129828362,43.3126724631,43.4129828362
2020-01-05T06:00:00Z,43.2564020917,43.4435488404,43.2564020917,43.3909199877
2020-01-05T07:00:00Z,43.4332214735,43.5445553655,43.2004541081,43.2882295832
2020-01-05T08:00:00Z,43.4087409361,43.4623894522,43.3021926147,43.4623894522
2020-01-05T09:00:00Z,43.0634630087,43.2800863379,43.0422908019,43.1363993996
2020-01-05T10:00:00Z,43.0841659021,43.2940148053,43.0360344952,43.1038245529
2020-01-05T11:00:00Z,43.4699147721,43.4808949387,43.1639526755,43.1639526755
2020-01-05T12:00:00Z,43.4909181389,43.5776628907,43.4255701234,43.4664693238
2020-01-05T13:00:00Z,43.3677522904,43.5541631749,43.3505012439,43.5131513369
2020-01-05T14:00:00Z,43.4459393274,43.4850461372,43.2798573562,43.3605873336
2020-01-05T15:00:00Z,44.2640366913,44.3128255296,43.4456220305,43.4456220305
2020-01-05T16:00:00Z,44.4176915924,44.7223923897,44.2197542907,44.2197542907
2020-01-05T17:00:00Z,44.3815739921,44.4318555677,44.2786724527,44.4102933647
2020-01-05T18:00:00Z,44.5753810737,44.5753810737,44.2713229831,44.3591849825
2020-01-05T19:00:00Z,44.231645348,44.5608677444,44.2219072661,44.5290519522
2020-01-05T20:00:00Z,44.3311606352,44.3311606352,44.199110704,44.2905315707
2020-01-05T21:00:00Z,43.7421157166,44.3125045959,43.7329056262,44.3125045959
2020-01-05T22:00:00Z,43.5320065626,43.8097160569,43.5320065626,43.7542057736
2020-01-05T23:00:00Z,43.5675133618,43.6479811452,43.4637376562,43.5937829025
2020-01-06T00:00:00Z,43.6753801371,43.6753801371,43.509926507,43.6055454295
2020-01-06T01:00:00Z,44.1703802802,44.1703802802,43.6772972754,43.6772972754
2020-01-06T02:00:00Z,44.4965534597,44.4965534597,44.2171008138,44.2171008138
2020-01-06T03:00:00Z,44.5353664242,44.5482048905,44.3404483603,44.5055866059
2020-01-06T04:00:00Z,44.5694110548,44.6092836207,44.4354864772,44.5371884283
2020-01-06T05:00:00Z,44.463311889,44.6834455973,44.4228682799,44.6294988393
2020-01-06T06:00:00Z,44.676012262,44.676012262,44.49843179,44.5076276868
2020-01-06T07:00:00Z,44.5627249494,44.6552099304,44.5146414253,44.6552099304
2020-01-06T08:00:00Z,44.9917203437,45.005203942,44.5166295628,44.5166295628
2020-01-06T09:00:00Z,45.052984512,45.1941250016,44.9145724278,45.1941250016
2020-01-06T10:00:00Z,45.3250066466,45.3250066466,44.7925465514,45.0800276707
2020-01-06T11:00:00Z,45.1369052873,45.4369770843,45.1204515388,45.3452294674
2020-01-06T12:00:00Z,45.2081826049,45.2507743108,44.930712475,45.1521691105
2020-01-06T13:00:00Z,45.2610540921,45.3079144864,44.9839549939,45.2183874457
2020-01-06T14:00:00Z,44.8973383837,44.9285076057,44.6105894644,44.8553983037
